,0,1
0,20200101,sell
1,20200102,buy
2,20200106,sell
3,20200107,sell
4,20200114,sell
5,20200115,sell
6,20200116,sell
7,20200117,sell
8,20200118,sell
9,20200119,sell
10,20200121,sell
11,20200128,sell
12,20200129,sell
13,20200130,sell
14,20200131,sell
15,20200201,sell
16,20200202,sell
17,20200203,sell
18,20200205,sell
19,20200206,sell
20,20200207,sell
21,20200208,sell
22,20200209,sell
23,20200210,sell
24,20200211,sell
25,20200212,sell
26,20200213,sell
27,20200214,sell
28,20200310,buy
29,20200311,buy
30,20200312,buy
31,20200313,buy
32,20200314,buy
33,20200315,buy
34,20200316,buy
35,20200317,buy
36,20200318,buy
37,20200429,sell
38,20200430,sell
39,20200501,sell
40,20200502,sell
41,20200503,sell
42,20200504,sell
43,20200505,sell
44,20200506,sell
45,20200507,sell
46,20200508,sell
47,20200509,sell
